Item,tags
Chocolate chip, "chocolate"
Chocolate chip with nuts, "chocolate"
Oatmeal, "oatmeal"
Oatmeal raisin, "oatmeal"
Peanut Butter, "nuts"
Fortune cookies, "themed"
Biscotti, "sliced"
Butter cookies, "plain"
Macaroon, "coconut"
Oreos, "filled"
Snickerdoodle, "cinnamon"
Lemon cookies, "fruit"
Sugar cookies, "plain"
Frosted sugar cookies, "frosted"
Sandwich cookies, "filled"
Gingerbread, "holiday"
Fig cookies, "fruit"
Hamantash, "holiday"
Abernethy biscuit, "scotland"
Almond buscuit, "buscuit"
Frosted animal crackers, "frosted"
Apas, "phillippines"
Apple cider cookie, "fruit"
Berger cookie, "germany"
Barquillo, "spain"
Biscocho, "phillippines"
Bredela, "france"
Black and white cookie, "frosted"
Bizcochito, "spain"
Caramel Shortbread, "caramel"
Carrot cake cookie, "cake"
Chocolate buscuit, "chocolate"
Chocolate coated marshmallow, "chocolate"
Coyotas, "mexico"
Christmas cookies, "holiday"
Cream cracker, "ireland"
Custard cream, "filled"
Half moon cookie, "phillippines"
Macaron, "filled"
Maple cream cookies, "filled"
Pinwheel cookies, "sliced"
Rainbow cookie, "cake"
Rum ball, "unbaked"
Russian tea cake, "russia"
Shortbread, "plain"
Speculaas, "plain"
Toll house cookies, "frozen"
